"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","0.0400","0.0028",,,"2083.1815","2206.7441","3.5200","4339645.0000"
"2","0.1200","0.0085",,,"1625.3006","735.5815","3.5200","2641602.0000"
"3","0.2000","0.0142",,,"1154.1373","441.3490","3.5200","1332033.0000"
"4","0.2800","0.0199",,,"760.9967","315.2495","3.5200","579116.0000"
"5","0.3600","0.0256",,,"548.7768","245.1942","3.5200","301156.0000"
"6","0.4400","0.0313",,,"473.8491","200.6136","3.5200","224533.0000"
"7","0.5200","0.0370",,,"417.4602","169.7501","3.5200","174273.0000"
"8","0.6000","0.0427",,,"382.3310","147.1169","3.5200","146177.0000"
"9","0.6800","0.0484",,,"359.8861","129.8092","3.5200","129518.0000"
"10","0.7600","0.0541",,,"349.5283","116.1453","3.5200","122170.0000"
"11","0.8400","0.0598",,,"345.1797","105.0840","3.5200","119149.0000"
"12","0.9200","0.0655",,,"343.7426","95.9464","3.5200","118159.0000"
"13","1.0000","0.0712",,,"344.7796","88.2709","3.5200","118873.0000"
"14","1.0800","0.0769",,,"345.1116","81.7325","3.5200","119102.0000"
"15","1.1600","0.0826",,,"345.5951","76.0959","3.5200","119436.0000"
"16","1.2400","0.0883",,,"371.5966","71.1867","3.5200","138084.0000"
"17","1.3200","0.0940",,,"400.7493","66.8725","3.5200","160600.0000"
"18","1.4000","0.0997",,,"389.8974","63.0514","3.5200","152020.0000"
"19","1.4800","0.1053",,,"390.8235","59.6434","3.5200","152743.0000"
"20","1.5600","0.1110",,,"404.7061","56.5849","3.5200","163787.0000"
"21","1.6400","0.1167",,,"383.7525","53.8249","3.5200","147266.0000"
"22","1.7200","0.1224",,,"363.1831","51.3216","3.5200","131902.0000"
"23","1.8000","0.1281",,,"361.1496","49.0408","3.5200","130429.0000"
"24","1.8800","0.1338",,,"356.0169","46.9541","3.5200","126748.0000"
"25","1.9600","0.1395",,,"354.9859","45.0378","3.5200","126015.0000"
"26","2.0400","0.1452",,,"349.4167","43.2718","3.5200","122092.0000"
"27","2.1200","0.1509",,,"329.5057","41.6391","3.5200","108574.0000"
"28","2.2000","0.1566",,,"295.5385","40.1251","3.5200","87343.0000"
"29","2.2800","0.1623",,,"252.1924","38.7174","3.5200","63601.0000"
"30","2.3600","0.1680",,,"215.8286","37.4051","3.5200","46582.0000"
"31","2.4400","0.1737",,,"186.7030","36.1789","3.5200","34858.0000"
"32","2.5200","0.1794",,,"167.5321","35.0305","3.5200","28067.0000"
"33","2.6000","0.1851",,,"158.1265","33.9528","3.5200","25004.0000"
"34","2.6800","0.1907",,,"150.2631","32.9395","3.5200","22579.0000"
"35","2.7600","0.1964",,,"142.9685","31.9849","3.5200","20440.0000"
"36","2.8400","0.2021",,,"137.5827","31.0841","3.5200","18929.0000"
"37","2.9200","0.2078",,,"135.2442","30.2326","3.5200","18291.0000"
"38","3.0000","0.2135",,,"134.3615","29.4266","3.5200","18053.0000"
"39","3.0800","0.2192",,,"133.1728","28.6625","3.5200","17735.0000"
"40","3.1600","0.2249",,,"132.7102","27.9370","3.5200","17612.0000"
"41","3.2400","0.2306",,,"133.1878","27.2474","3.5200","17739.0000"
"42","3.3200","0.2363",,,"131.5067","26.5910","3.5200","17294.0000"
"43","3.4000","0.2420",,,"129.7228","25.9655","3.5200","16828.0000"
"44","3.4800","0.2477",,,"128.6040","25.3688","3.5200","16539.0000"
"45","3.5600","0.2534",,,"129.1433","24.7989","3.5200","16678.0000"
"46","3.6400","0.2591",,,"129.2904","24.2540","3.5200","16716.0000"
"47","3.7200","0.2647",,,"130.2574","23.7326","3.5200","16967.0000"
"48","3.8000","0.2704",,,"130.2229","23.2331","3.5200","16958.0000"
"49","3.8800","0.2761",,,"130.4224","22.7543","3.5200","17010.0000"
