"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","0.0400","0.0028",,,"6.0828","2206.7441","3.5200","37.0000"
"2","0.1200","0.0085",,,"6.8557","735.5815","3.5200","47.0000"
"3","0.2000","0.0142",,,"5.5678","441.3490","3.5200","31.0000"
"4","0.2800","0.0199",,,"12.1655","315.2495","3.5200","148.0000"
"5","0.3600","0.0256",,,"135.3366","245.1942","3.5200","18316.0000"
"6","0.4400","0.0313",,,"296.7945","200.6136","3.5200","88087.0000"
"7","0.5200","0.0370",,,"418.5547","169.7501","3.5200","175188.0000"
"8","0.6000","0.0427",,,"480.6464","147.1169","3.5200","231021.0000"
"9","0.6800","0.0484",,,"551.3003","129.8092","3.5200","303932.0000"
"10","0.7600","0.0541",,,"616.0292","116.1453","3.5200","379492.0000"
"11","0.8400","0.0598",,,"641.2082","105.0840","3.5200","411148.0000"
"12","0.9200","0.0655",,,"640.8767","95.9464","3.5200","410723.0000"
"13","1.0000","0.0712",,,"640.9852","88.2709","3.5200","410862.0000"
"14","1.0800","0.0769",,,"645.4417","81.7325","3.5200","416595.0000"
"15","1.1600","0.0826",,,"648.8998","76.0959","3.5200","421071.0000"
"16","1.2400","0.0883",,,"656.2850","71.1867","3.5200","430710.0000"
"17","1.3200","0.0940",,,"662.6764","66.8725","3.5200","439140.0000"
"18","1.4000","0.0997",,,"670.8867","63.0514","3.5200","450089.0000"
"19","1.4800","0.1053",,,"677.1521","59.6434","3.5200","458535.0000"
"20","1.5600","0.1110",,,"679.2179","56.5849","3.5200","461337.0000"
"21","1.6400","0.1167",,,"682.1532","53.8249","3.5200","465333.0000"
"22","1.7200","0.1224",,,"680.5645","51.3216","3.5200","463168.0000"
"23","1.8000","0.1281",,,"678.6516","49.0408","3.5200","460568.0000"
"24","1.8800","0.1338",,,"674.9563","46.9541","3.5200","455566.0000"
"25","1.9600","0.1395",,,"661.4734","45.0378","3.5200","437547.0000"
"26","2.0400","0.1452",,,"640.9657","43.2718","3.5200","410837.0000"
"27","2.1200","0.1509",,,"607.3969","41.6391","3.5200","368931.0000"
"28","2.2000","0.1566",,,"561.3217","40.1251","3.5200","315082.0000"
"29","2.2800","0.1623",,,"502.2061","38.7174","3.5200","252211.0000"
"30","2.3600","0.1680",,,"442.5754","37.4051","3.5200","195873.0000"
"31","2.4400","0.1737",,,"387.3551","36.1789","3.5200","150044.0000"
"32","2.5200","0.1794",,,"340.1220","35.0305","3.5200","115683.0000"
"33","2.6000","0.1851",,,"307.4264","33.9528","3.5200","94511.0000"
"34","2.6800","0.1907",,,"288.6468","32.9395","3.5200","83317.0000"
