"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","2.0400","0.1452",,,"369.2235","43.2718","3.5200","136326.0000"
"2","2.1200","0.1509",,,"363.8612","41.6391","3.5200","132395.0000"
"3","2.2000","0.1566",,,"357.6800","40.1251","3.5200","127935.0000"
"4","2.2800","0.1623",,,"355.0845","38.7174","3.5200","126085.0000"
"5","2.3600","0.1680",,,"352.1889","37.4051","3.5200","124037.0000"
"6","2.4400","0.1737",,,"351.0456","36.1789","3.5200","123233.0000"
"7","2.5200","0.1794",,,"350.5439","35.0305","3.5200","122881.0000"
"8","2.6000","0.1851",,,"349.9714","33.9528","3.5200","122480.0000"
"9","2.6800","0.1907",,,"349.7571","32.9395","3.5200","122330.0000"
"10","2.7600","0.1964",,,"350.0728","31.9849","3.5200","122551.0000"
"11","2.8400","0.2021",,,"350.8903","31.0841","3.5200","123124.0000"
"12","2.9200","0.2078",,,"349.4381","30.2326","3.5200","122107.0000"
"13","3.0000","0.2135",,,"345.3534","29.4266","3.5200","119269.0000"
"14","3.0800","0.2192",,,"341.2814","28.6625","3.5200","116473.0000"
"15","3.1600","0.2249",,,"337.6951","27.9370","3.5200","114038.0000"
"16","3.2400","0.2306",,,"333.0345","27.2474","3.5200","110912.0000"
"17","3.3200","0.2363",,,"327.4844","26.5910","3.5200","107246.0000"
"18","3.4000","0.2420",,,"318.4447","25.9655","3.5200","101407.0000"
"19","3.4800","0.2477",,,"311.1784","25.3688","3.5200","96832.0000"
"20","3.5600","0.2534",,,"301.1976","24.7989","3.5200","90720.0000"
"21","3.6400","0.2591",,,"291.7876","24.2540","3.5200","85140.0000"
"22","3.7200","0.2647",,,"282.4429","23.7326","3.5200","79774.0000"
"23","3.8000","0.2704",,,"270.3942","23.2331","3.5200","73113.0000"
"24","3.8800","0.2761",,,"257.2295","22.7543","3.5200","66167.0000"
"25","3.9600","0.2818",,,"239.0983","22.2948","3.5200","57168.0000"
"26","4.0400","0.2875",,,"221.7386","21.8535","3.5200","49168.0000"
"27","4.1200","0.2932",,,"201.7424","21.4293","3.5200","40700.0000"
"28","4.2000","0.2989",,,"180.6295","21.0213","3.5200","32627.0000"
"29","4.2800","0.3046",,,"158.3161","20.6286","3.5200","25064.0000"
"30","4.3600","0.3103",,,"136.6345","20.2502","3.5200","18669.0000"
"31","4.4400","0.3160",,,"117.5585","19.8856","3.5200","13820.0000"
"32","4.5200","0.3217",,,"98.9798","19.5338","3.5200","9797.0000"
"33","4.6000","0.3273",,,"81.9756","19.1942","3.5200","6720.0000"
"34","4.6800","0.3330",,,"68.3959","18.8663","3.5200","4678.0000"
"35","4.7600","0.3387",,,"63.2376","18.5494","3.5200","3999.0000"
"36","4.8400","0.3444",,,"62.4580","18.2430","3.5200","3901.0000"
"37","4.9200","0.3501",,,"62.7694","17.9465","3.5200","3940.0000"
"38","5.0000","0.3558",,,"61.2454","17.6596","3.5200","3751.0000"
"39","5.0800","0.3615",,,"60.9262","17.3816","3.5200","3712.0000"
"40","5.1600","0.3672",,,"60.8276","17.1123","3.5200","3700.0000"
"41","5.2400","0.3729",,,"61.2781","16.8512","3.5200","3755.0000"
"42","5.3200","0.3786",,,"60.6383","16.5980","3.5200","3677.0000"
"43","5.4000","0.3842",,,"59.9917","16.3523","3.5200","3599.0000"
"44","5.4800","0.3899",,,"60.0333","16.1138","3.5200","3604.0000"
"45","5.5600","0.3956",,,"59.6741","15.8821","3.5200","3561.0000"
"46","5.6400","0.4013",,,"59.1608","15.6570","3.5200","3500.0000"
"47","5.7200","0.4070",,,"58.8388","15.4382","3.5200","3462.0000"
"48","5.8000","0.4127",,,"58.8558","15.2254","3.5200","3464.0000"
"49","5.8800","0.4184",,,"58.8558","15.0185","3.5200","3464.0000"
"50","5.9600","0.4241",,,"58.4466","14.8170","3.5200","3416.0000"
"51","6.0400","0.4297",,,"57.2364","14.6210","3.5200","3276.0000"
"52","6.1200","0.4354",,,"57.1927","14.4300","3.5200","3271.0000"
"53","6.2000","0.4411",,,"56.9737","14.2440","3.5200","3246.0000"
"54","6.2800","0.4468",,,"56.7362","14.0627","3.5200","3219.0000"
"55","6.3600","0.4525",,,"57.2276","13.8860","3.5200","3275.0000"
"56","6.4400","0.4582",,,"56.7274","13.7137","3.5200","3218.0000"
"57","6.5200","0.4639",,,"56.9649","13.5456","3.5200","3245.0000"
"58","6.6000","0.4695",,,"56.3116","13.3816","3.5200","3171.0000"
"59","6.6800","0.4752",,,"55.8122","13.2215","3.5200","3115.0000"
"60","6.7600","0.4809",,,"55.3805","13.0652","3.5200","3067.0000"
"61","6.8400","0.4866",,,"56.5685","12.9126","3.5200","3200.0000"
"62","6.9200","0.4923",,,"55.0091","12.7635","3.5200","3026.0000"
"63","7.0000","0.4980",,,"55.1362","12.6178","3.5200","3040.0000"
"64","7.0800","0.5036",,,"55.0364","12.4754","3.5200","3029.0000"
"65","7.1600","0.5093",,,"54.4885","12.3362","3.5200","2969.0000"
"66","7.2400","0.5150",,,"55.4166","12.2001","3.5200","3071.0000"
"67","7.3200","0.5207",,,"54.7449","12.0669","3.5200","2997.0000"
"68","7.4000","0.5264",,,"54.4610","11.9366","3.5200","2966.0000"
"69","7.4800","0.5321",,,"54.3323","11.8092","3.5200","2952.0000"
"70","7.5600","0.5377",,,"54.8088","11.6844","3.5200","3004.0000"
"71","7.6400","0.5434",,,"53.0471","11.5622","3.5200","2814.0000"
"72","7.7200","0.5491",,,"53.1601","11.4426","3.5200","2826.0000"
"73","7.8000","0.5548",,,"53.3760","11.3254","3.5200","2849.0000"
"74","7.8800","0.5605",,,"52.6593","11.2106","3.5200","2773.0000"
"75","7.9600","0.5662",,,"52.9150","11.0981","3.5200","2800.0000"
"76","8.0400","0.5718",,,"52.9434","10.9878","3.5200","2803.0000"
"77","8.1200","0.5775",,,"53.3104","10.8798","3.5200","2842.0000"
"78","8.2000","0.5832",,,"52.5642","10.7738","3.5200","2763.0000"
"79","8.2800","0.5889",,,"52.1153","10.6699","3.5200","2716.0000"
"80","8.3600","0.5946",,,"52.5547","10.5680","3.5200","2762.0000"
