,file_name,omega,amorphous_percentage,crystalline_percentage,effective_depth,amorphous_percentage_intensity,crystalline_percentage_intensity,effective_depth_intensity,corrected_amorphous_percentage,corrected_crystalline_percentage,weight,corrected_amorphous_percentage_intensity,corrected_crystalline_percentage_intensity,weight_intensity,index_of_refraction,index_of_refraction_intensity,attenuation_coefficient,attenuation_coefficient_intensity,corrected_depth_intensity
0,"MSS dt (0-129, 0.25w, 0D).csv",0.25,0.8796477832249404,0.1203522167750594,1.026360216204878e-05,0.4473117268377208,0.5526882731622792,2.7247379583004843e-06,0.8796477832249404,0.1203522167750594,1.0,0.4473117268377208,0.5526882731622792,1.0,(0.9999929797374768-2.6059508626903413e-08j),(0.9999927073715937-9.816152348530498e-08j),2125.6227666737527,8006.842036780891,1.2547887031545661
1,"MSS dt (0-129, 0.5w, 0D).csv",0.5,0.9027203076297252,0.0972796923702748,2.4083045713459937e-05,0.2114946384932245,0.7885053615067754,3.890652752386481e-06,0.9198561069463839,0.08014389305361641,0.42617542167071026,-0.33960890276671646,1.3396089027667162,0.7003292587931836,(0.9999930050681788-1.935384271825587e-08j),(0.9999922116222124-2.2939869903400408e-07j),1578.6548124731908,18711.599834565313,2.509553516940963
2,"MSS dt (0-129, 1w, 0D).csv",1.0,0.76626625980677,0.2337337401932299,2.3790140469556296e-05,0.140221395108625,0.8597786048913749,7.161842227756565e-06,11.985693497469974,-10.985693497469969,1.0123120434819821,0.05545117845389222,0.9445488215461076,0.5432474813963085,(0.9999999763964613+1.8261299196575089e-06j),(0.9999924605047342-1.6351331328996258e-07j),-148953.81903405293,13337.45875102876,3.7064373647541777
3,"MSS dt (0-129, 2w).csv",2.0,0.6749761244442299,0.32502387555577,3.554033696077644e-05,0.1213363037799835,0.8786636962200165,1.4025775656551699e-05,0.49014473499619554,0.5098552650038044,0.6693842125304531,0.10163156072622613,0.898368439273774,0.5106200471993958,(0.9999927343558109-9.10181308742887e-08j),(0.9999924895977523-1.5581166879472708e-07j),7424.16957803816,12709.250786163328,6.64428484054228
4,"MSS dt (0-129, 3w, 0D).csv",3.0,0.0011432243836417,0.9988567756163582,1.8590190775206308e-05,5.4515656222191904e-05,0.9999454843437776,1.8570651949974848e-05,1.4140070463958636,-0.41400704639586355,1.9117790339288234,-0.37422875227582647,1.3742287522758259,0.7552656575727109,(0.9999933163766042+6.305723045526703e-08j),(0.999992189812174-2.3517235789688127e-07j),-5143.454029702336,19182.545810625255,9.777738295460724
5,"MSS dt (0-129, 4w).csv",4.0,0.0647030391689055,0.9352969608310944,2.6399702104673668e-05,0.0064544669506367,0.9935455330493632,2.490594907710897e-05,0.21600432200799727,0.7839956779920026,0.7041818389274626,0.0252146396150445,0.9747853603849556,0.7456311699859337,(0.9999925616510489-1.367373713552631e-07j),(0.9999924414561229-1.6855595394048615e-07j),11153.39793121833,13748.777012027802,12.933882628010675
6,"MSS dt (1-129, 5w, 0D).csv",5.0,0.4002499570237345,0.5997500429762654,5.039628849933794e-05,0.0259164665275061,0.974083533472494,3.171784151215561e-05,0.7693999072632641,0.23060009273673587,0.5238421893910001,0.09707430923012753,0.902925690769873,0.7852346783296702,(0.9999929102828023-4.4445886245096894e-08j),(0.9999924867267458-1.5657169565399717e-07j),3625.3633573902125,12771.244679389703,15.390884905248818
7,"MSS dt (2-129, 6w, 0D).csv",6.0,0.428121262340022,0.571878737659978,6.321345528954323e-05,0.0300376081378201,0.9699623918621798,3.8196000964763695e-05,0.5377094706050609,0.4622905293949393,0.7972398956599118,0.05021520910632731,0.9497847908936715,0.8303969188139807,(0.999992764320953-8.308561351206642e-08j),(0.9999924572061432-1.6438653201442182e-07j),6777.1297683632,13408.685481646395,17.476228754952906
8,"MSS dt (3-129, 7w, 0D).csv",7.0,0.5016416852251588,0.4983583147748411,8.384229348781952e-05,0.0421438931047256,0.9578561068952745,4.5075082963490385e-05,0.7269321218580004,0.2730678781419994,0.7539566567167771,0.10936386117040911,0.8906361388295915,0.8473861489218208,(0.9999928835286702-5.152836953340084e-08j),(0.9999924944689979-1.5452212924955267e-07j),4203.067562705236,12604.065586588267,19.947866614860576
9,"MSS dt (4-129, 8w).csv",8.0,0.4386041336580411,0.5613958663419589,8.564188116399122e-05,0.0373070325941809,0.962692967405819,5.12257924438708e-05,-2.4982980074408534,3.498298007440856,0.9789870603995052,0.0018604081858779912,0.998139591814121,0.8799294420458232,(0.9999908516772003-5.894099254871615e-07j),(0.9999924267432712-1.7245081100048597e-07j),48077.00614989936,14066.472827332951,22.845821214868263
