"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","0.0300","2244290.0000",,,"3.5200","1498.0955","2942.3255","0.0021"
"2","0.0900","1668403.0000",,,"3.5200","1291.6668","980.7752","0.0064"
"3","0.1500","1038233.0000",,,"3.5200","1018.9372","588.4653","0.0107"
"4","0.2100","558807.0000",,,"3.5200","747.5339","420.3324","0.0149"
"5","0.2700","292702.0000",,,"3.5200","541.0194","326.9254","0.0192"
"6","0.3300","172061.0000",,,"3.5200","414.8024","267.4845","0.0235"
"7","0.3900","133306.0000",,,"3.5200","365.1109","226.3332","0.0278"
"8","0.4500","106252.0000",,,"3.5200","325.9632","196.1555","0.0320"
"9","0.5100","86122.0000",,,"3.5200","293.4655","173.0785","0.0363"
"10","0.5700","74623.0000",,,"3.5200","273.1721","154.8599","0.0406"
"11","0.6300","65457.0000",,,"3.5200","255.8457","140.1114","0.0448"
"12","0.6900","59752.0000",,,"3.5200","244.4422","127.9280","0.0491"
"13","0.7500","57223.0000",,,"3.5200","239.2133","117.6939","0.0534"
"14","0.8100","56045.0000",,,"3.5200","236.7383","108.9759","0.0577"
"15","0.8700","54998.0000",,,"3.5200","234.5165","101.4605","0.0619"
"16","0.9300","54655.0000",,,"3.5200","233.7841","94.9148","0.0662"
"17","0.9900","55115.0000",,,"3.5200","234.7658","89.1625","0.0705"
"18","1.0500","54616.0000",,,"3.5200","233.7007","84.0676","0.0747"
"19","1.1100","54432.0000",,,"3.5200","233.3067","79.5236","0.0790"
"20","1.1700","54586.0000",,,"3.5200","233.6365","75.4456","0.0833"
"21","1.2300","54994.0000",,,"3.5200","234.5080","71.7654","0.0876"
"22","1.2900","56310.0000",,,"3.5200","237.2973","68.4276","0.0918"
"23","1.3500","58156.0000",,,"3.5200","241.1556","65.3865","0.0961"
"24","1.4100","58691.0000",,,"3.5200","242.2623","62.6042","0.1004"
"25","1.4700","59076.0000",,,"3.5200","243.0555","60.0491","0.1046"
"26","1.5300","59229.0000",,,"3.5200","243.3701","57.6944","0.1089"
"27","1.5900","58820.0000",,,"3.5200","242.5283","55.5174","0.1132"
"28","1.6500","57965.0000",,,"3.5200","240.7592","53.4987","0.1174"
"29","1.7100","58879.0000",,,"3.5200","242.6500","51.6217","0.1217"
"30","1.7700","58468.0000",,,"3.5200","241.8016","49.8719","0.1260"
"31","1.8300","57296.0000",,,"3.5200","239.3658","48.2369","0.1303"
"32","1.8900","55341.0000",,,"3.5200","235.2467","46.7057","0.1345"
"33","1.9500","55635.0000",,,"3.5200","235.8707","45.2687","0.1388"
"34","2.0100","55966.0000",,,"3.5200","236.5713","43.9176","0.1431"
"35","2.0700","55182.0000",,,"3.5200","234.9085","42.6447","0.1473"
"36","2.1300","51197.0000",,,"3.5200","226.2675","41.4436","0.1516"
"37","2.1900","41734.0000",,,"3.5200","204.2890","40.3083","0.1559"
"38","2.2500","31917.0000",,,"3.5200","178.6533","39.2335","0.1601"
"39","2.3100","26014.0000",,,"3.5200","161.2886","38.2146","0.1644"
"40","2.3700","22958.0000",,,"3.5200","151.5190","37.2473","0.1687"
"41","2.4300","18306.0000",,,"3.5200","135.2997","36.3277","0.1730"
"42","2.4900","13841.0000",,,"3.5200","117.6478","35.4525","0.1772"
"43","2.5500","11960.0000",,,"3.5200","109.3618","34.6185","0.1815"
"44","2.6100","11201.0000",,,"3.5200","105.8348","33.8228","0.1858"
"45","2.6700","10337.0000",,,"3.5200","101.6710","33.0628","0.1900"
"46","2.7300","9557.0000",,,"3.5200","97.7599","32.3363","0.1943"
"47","2.7900","8786.0000",,,"3.5200","93.7337","31.6410","0.1986"
"48","2.8500","8682.0000",,,"3.5200","93.1773","30.9750","0.2028"
"49","2.9100","8663.0000",,,"3.5200","93.0752","30.3365","0.2071"
"50","2.9700","8289.0000",,,"3.5200","91.0439","29.7238","0.2114"
"51","3.0300","7897.0000",,,"3.5200","88.8651","29.1353","0.2157"
"52","3.0900","7734.0000",,,"3.5200","87.9432","28.5697","0.2199"
"53","3.1500","7884.0000",,,"3.5200","88.7919","28.0257","0.2242"
"54","3.2100","7761.0000",,,"3.5200","88.0965","27.5020","0.2285"
"55","3.2700","7653.0000",,,"3.5200","87.4814","26.9975","0.2327"
"56","3.3300","7706.0000",,,"3.5200","87.7838","26.5112","0.2370"
