"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1","0.0400","4354713.0000",,,"3.5200","2086.7949","2206.7441","0.0028"
"2","0.1200","2655153.0000",,,"3.5200","1629.4640","735.5815","0.0085"
"3","0.2000","1362493.0000",,,"3.5200","1167.2588","441.3490","0.0142"
"4","0.2800","604254.0000",,,"3.5200","777.3378","315.2495","0.0199"
"5","0.3600","302930.0000",,,"3.5200","550.3908","245.1942","0.0256"
"6","0.4400","227087.0000",,,"3.5200","476.5365","200.6136","0.0313"
"7","0.5200","176414.0000",,,"3.5200","420.0167","169.7501","0.0370"
"8","0.6000","148898.0000",,,"3.5200","385.8730","147.1169","0.0427"
"9","0.6800","131562.0000",,,"3.5200","362.7148","129.8092","0.0484"
"10","0.7600","123250.0000",,,"3.5200","351.0698","116.1453","0.0541"
"11","0.8400","120626.0000",,,"3.5200","347.3125","105.0840","0.0598"
"12","0.9200","117944.0000",,,"3.5200","343.4298","95.9464","0.0655"
"13","1.0000","119485.0000",,,"3.5200","345.6660","88.2709","0.0712"
"14","1.0800","120423.0000",,,"3.5200","347.0202","81.7325","0.0769"
"15","1.1600","120164.0000",,,"3.5200","346.6468","76.0959","0.0826"
"16","1.2400","119865.0000",,,"3.5200","346.2153","71.1867","0.0883"
"17","1.3200","125553.0000",,,"3.5200","354.3346","66.8725","0.0940"
"18","1.4000","128661.0000",,,"3.5200","358.6935","63.0514","0.0997"
"19","1.4800","130685.0000",,,"3.5200","361.5038","59.6434","0.1053"
"20","1.5600","130767.0000",,,"3.5200","361.6172","56.5849","0.1110"
"21","1.6400","130616.0000",,,"3.5200","361.4084","53.8249","0.1167"
"22","1.7200","132080.0000",,,"3.5200","363.4281","51.3216","0.1224"
"23","1.8000","130724.0000",,,"3.5200","361.5577","49.0408","0.1281"
"24","1.8800","127458.0000",,,"3.5200","357.0126","46.9541","0.1338"
"25","1.9600","125942.0000",,,"3.5200","354.8831","45.0378","0.1395"
"26","2.0400","122037.0000",,,"3.5200","349.3379","43.2718","0.1452"
"27","2.1200","110116.0000",,,"3.5200","331.8373","41.6391","0.1509"
"28","2.2000","88658.0000",,,"3.5200","297.7549","40.1251","0.1566"
"29","2.2800","64558.0000",,,"3.5200","254.0827","38.7174","0.1623"
"30","2.3600","46857.0000",,,"3.5200","216.4648","37.4051","0.1680"
"31","2.4400","35763.0000",,,"3.5200","189.1111","36.1789","0.1737"
"32","2.5200","28291.0000",,,"3.5200","168.1993","35.0305","0.1794"
"33","2.6000","25339.0000",,,"3.5200","159.1823","33.9528","0.1851"
"34","2.6800","22782.0000",,,"3.5200","150.9371","32.9395","0.1907"
"35","2.7600","20701.0000",,,"3.5200","143.8784","31.9849","0.1964"
"36","2.8400","19308.0000",,,"3.5200","138.9532","31.0841","0.2021"
"37","2.9200","19142.0000",,,"3.5200","138.3546","30.2326","0.2078"
"38","3.0000","18579.0000",,,"3.5200","136.3048","29.4266","0.2135"
"39","3.0800","17947.0000",,,"3.5200","133.9664","28.6625","0.2192"
"40","3.1600","18230.0000",,,"3.5200","135.0185","27.9370","0.2249"
"41","3.2400","17687.0000",,,"3.5200","132.9925","27.2474","0.2306"
"42","3.3200","17665.0000",,,"3.5200","132.9097","26.5910","0.2363"
"43","3.4000","17436.0000",,,"3.5200","132.0454","25.9655","0.2420"
"44","3.4800","17132.0000",,,"3.5200","130.8893","25.3688","0.2477"
"45","3.5600","16809.0000",,,"3.5200","129.6495","24.7989","0.2534"
"46","3.6400","17211.0000",,,"3.5200","131.1907","24.2540","0.2591"
"47","3.7200","16959.0000",,,"3.5200","130.2267","23.7326","0.2647"
"48","3.8000","17376.0000",,,"3.5200","131.8181","23.2331","0.2704"
"49","3.8800","17770.0000",,,"3.5200","133.3042","22.7543","0.2761"
"50","3.9600","17661.0000",,,"3.5200","132.8947","22.2948","0.2818"
"51","4.0400","17232.0000",,,"3.5200","131.2707","21.8535","0.2875"
"52","4.1200","17288.0000",,,"3.5200","131.4838","21.4293","0.2932"
"53","4.2000","16354.0000",,,"3.5200","127.8828","21.0213","0.2989"
"54","4.2800","14975.0000",,,"3.5200","122.3724","20.6286","0.3046"
"55","4.3600","13644.0000",,,"3.5200","116.8075","20.2502","0.3103"
"56","4.4400","13600.0000",,,"3.5200","116.6190","19.8856","0.3160"
"57","4.5200","13493.0000",,,"3.5200","116.1594","19.5338","0.3217"
"58","4.6000","13046.0000",,,"3.5200","114.2191","19.1942","0.3273"
"59","4.6800","11915.0000",,,"3.5200","109.1559","18.8663","0.3330"
"60","4.7600","11013.0000",,,"3.5200","104.9428","18.5494","0.3387"
"61","4.8400","10104.0000",,,"3.5200","100.5187","18.2430","0.3444"
"62","4.9200","9415.0000",,,"3.5200","97.0309","17.9465","0.3501"
"63","5.0000","8154.0000",,,"3.5200","90.2995","17.6596","0.3558"
"64","5.0800","6572.0000",,,"3.5200","81.0679","17.3816","0.3615"
"65","5.1600","5215.0000",,,"3.5200","72.2150","17.1123","0.3672"
"66","5.2400","4033.0000",,,"3.5200","63.5059","16.8512","0.3729"
"67","5.3200","2803.0000",,,"3.5200","52.9434","16.5980","0.3786"
"68","5.4000","1584.0000",,,"3.5200","39.7995","16.3523","0.3842"
