"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","11.0400","0.7846",,,"54.1756","8.0078","3.5200","2935.0000"
"2","11.1200","0.7903",,,"54.6260","7.9504","3.5200","2984.0000"
"3","11.2000","0.7960",,,"53.2917","7.8938","3.5200","2840.0000"
"4","11.2800","0.8016",,,"54.5161","7.8380","3.5200","2972.0000"
"5","11.3600","0.8073",,,"54.6900","7.7830","3.5200","2991.0000"
"6","11.4400","0.8130",,,"53.8888","7.7287","3.5200","2904.0000"
"7","11.5200","0.8186",,,"53.8795","7.6752","3.5200","2903.0000"
"8","11.6000","0.8243",,,"53.8052","7.6225","3.5200","2895.0000"
"9","11.6800","0.8300",,,"53.3292","7.5704","3.5200","2844.0000"
"10","11.7600","0.8356",,,"54.4977","7.5191","3.5200","2970.0000"
"11","11.8400","0.8413",,,"53.6377","7.4685","3.5200","2877.0000"
"12","11.9200","0.8470",,,"54.6443","7.4186","3.5200","2986.0000"
"13","12.0000","0.8526",,,"54.7996","7.3693","3.5200","3003.0000"
"14","12.0800","0.8583",,,"53.2635","7.3207","3.5200","2837.0000"
"15","12.1600","0.8639",,,"54.8999","7.2727","3.5200","3014.0000"
"16","12.2400","0.8696",,,"53.7959","7.2253","3.5200","2894.0000"
"17","12.3200","0.8753",,,"53.6936","7.1786","3.5200","2883.0000"
"18","12.4000","0.8809",,,"52.6118","7.1324","3.5200","2768.0000"
"19","12.4800","0.8866",,,"53.9444","7.0869","3.5200","2910.0000"
"20","12.5600","0.8923",,,"54.1664","7.0419","3.5200","2934.0000"
"21","12.6400","0.8979",,,"53.4696","6.9975","3.5200","2859.0000"
"22","12.7200","0.9036",,,"53.6749","6.9537","3.5200","2881.0000"
"23","12.8000","0.9092",,,"52.7731","6.9104","3.5200","2785.0000"
"24","12.8800","0.9149",,,"53.7401","6.8677","3.5200","2888.0000"
"25","12.9600","0.9205",,,"53.7494","6.8255","3.5200","2889.0000"
"26","13.0400","0.9262",,,"53.5817","6.7838","3.5200","2871.0000"
"27","13.1200","0.9319",,,"54.6352","6.7426","3.5200","2985.0000"
"28","13.2000","0.9375",,,"54.3231","6.7019","3.5200","2951.0000"
"29","13.2800","0.9432",,,"53.6004","6.6617","3.5200","2873.0000"
"30","13.3600","0.9488",,,"53.9907","6.6220","3.5200","2915.0000"
"31","13.4400","0.9545",,,"54.4059","6.5828","3.5200","2960.0000"
"32","13.5200","0.9601",,,"53.7122","6.5440","3.5200","2885.0000"
"33","13.6000","0.9658",,,"53.9444","6.5057","3.5200","2910.0000"
"34","13.6800","0.9715",,,"54.4151","6.4678","3.5200","2961.0000"
"35","13.7600","0.9771",,,"53.8795","6.4304","3.5200","2903.0000"
"36","13.8400","0.9828",,,"55.4617","6.3934","3.5200","3076.0000"
"37","13.9200","0.9884",,,"53.6190","6.3568","3.5200","2875.0000"
"38","14.0000","0.9941",,,"53.2729","6.3207","3.5200","2838.0000"
"39","14.0800","0.9997",,,"53.3479","6.2850","3.5200","2846.0000"
"40","14.1600","1.0054",,,"54.4243","6.2496","3.5200","2962.0000"
"41","14.2400","1.0110",,,"55.6507","6.2147","3.5200","3097.0000"
"42","14.3200","1.0167",,,"55.5428","6.1802","3.5200","3085.0000"
"43","14.4000","1.0223",,,"56.5332","6.1460","3.5200","3196.0000"
"44","14.4800","1.0280",,,"56.7450","6.1122","3.5200","3220.0000"
"45","14.5600","1.0336",,,"57.6021","6.0788","3.5200","3318.0000"
"46","14.6400","1.0393",,,"57.3062","6.0458","3.5200","3284.0000"
"47","14.7200","1.0449",,,"57.9828","6.0131","3.5200","3362.0000"
"48","14.8000","1.0506",,,"57.9310","5.9808","3.5200","3356.0000"
"49","14.8800","1.0562",,,"55.8659","5.9488","3.5200","3121.0000"
"50","14.9600","1.0619",,,"57.6108","5.9172","3.5200","3319.0000"
"51","15.0400","1.0675",,,"56.8946","5.8859","3.5200","3237.0000"
"52","15.1200","1.0731",,,"57.6281","5.8549","3.5200","3321.0000"
"53","15.2000","1.0788",,,"57.4108","5.8243","3.5200","3296.0000"
"54","15.2800","1.0844",,,"56.6657","5.7940","3.5200","3211.0000"
"55","15.3600","1.0901",,,"58.0000","5.7640","3.5200","3364.0000"
"56","15.4400","1.0957",,,"56.4181","5.7343","3.5200","3183.0000"
"57","15.5200","1.1014",,,"56.8683","5.7049","3.5200","3234.0000"
"58","15.6000","1.1070",,,"56.2139","5.6758","3.5200","3160.0000"
