"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","0.0400","0.0028","29.0000","29.0000","1469.2467","2206.7441","3.5200","2158686.0000"
"2","0.1200","0.0085","29.0000","29.0000","1155.3225","735.5815","3.5200","1334770.0000"
"3","0.2000","0.0142","29.0000","29.0000","799.5993","441.3490","3.5200","639359.0000"
"4","0.2800","0.0199","29.0000","29.0000","548.1341","315.2495","3.5200","300451.0000"
"5","0.3600","0.0256","29.0000","29.0000","432.9457","245.1942","3.5200","187442.0000"
"6","0.4400","0.0313","29.0000","29.0000","369.7688","200.6136","3.5200","136729.0000"
"7","0.5200","0.0370","29.0000","29.0000","318.2153","169.7501","3.5200","101261.0000"
"8","0.6000","0.0427","29.0000","29.0000","278.9211","147.1169","3.5200","77797.0000"
"9","0.6800","0.0484","29.0000","29.0000","253.4443","129.8092","3.5200","64234.0000"
"10","0.7600","0.0541","29.0000","29.0000","244.6855","116.1453","3.5200","59871.0000"
"11","0.8400","0.0598","29.0000","29.0000","239.8312","105.0840","3.5200","57519.0000"
"12","0.9200","0.0655","29.0000","29.0000","236.6918","95.9464","3.5200","56023.0000"
"13","1.0000","0.0712","29.0000","29.0000","236.9346","88.2709","3.5200","56138.0000"
"14","1.0800","0.0769","29.0000","29.0000","236.2435","81.7325","3.5200","55811.0000"
"15","1.1600","0.0826","29.0000","29.0000","235.3168","76.0959","3.5200","55374.0000"
"16","1.2400","0.0883","29.0000","29.0000","235.7371","71.1867","3.5200","55572.0000"
"17","1.3200","0.0940","29.0000","29.0000","240.8983","66.8725","3.5200","58032.0000"
"18","1.4000","0.0997","29.0000","29.0000","242.8395","63.0514","3.5200","58971.0000"
"19","1.4800","0.1053","29.0000","29.0000","243.7396","59.6434","3.5200","59409.0000"
"20","1.5600","0.1110","29.0000","29.0000","243.3413","56.5849","3.5200","59215.0000"
"21","1.6400","0.1167","29.0000","29.0000","242.5531","53.8249","3.5200","58832.0000"
"22","1.7200","0.1224","29.0000","29.0000","243.4687","51.3216","3.5200","59277.0000"
"23","1.8000","0.1281","29.0000","29.0000","241.0519","49.0408","3.5200","58106.0000"
"24","1.8800","0.1338","29.0000","29.0000","238.0063","46.9541","3.5200","56647.0000"
"25","1.9600","0.1395","29.0000","29.0000","237.6152","45.0378","3.5200","56461.0000"
"26","2.0400","0.1452","29.0000","29.0000","236.8882","43.2718","3.5200","56116.0000"
"27","2.1200","0.1509","29.0000","29.0000","229.6541","41.6391","3.5200","52741.0000"
