"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","16.0400","1.1380",,,"41.7852","5.5211","3.5200","1746.0000"
"2","16.1200","1.1437",,,"42.5558","5.4939","3.5200","1811.0000"
"3","16.2000","1.1493",,,"42.7083","5.4669","3.5200","1824.0000"
"4","16.2800","1.1549",,,"42.5323","5.4403","3.5200","1809.0000"
"5","16.3600","1.1606",,,"42.7785","5.4138","3.5200","1830.0000"
"6","16.4400","1.1662",,,"41.9166","5.3877","3.5200","1757.0000"
"7","16.5200","1.1719",,,"42.3202","5.3618","3.5200","1791.0000"
"8","16.6000","1.1775",,,"43.0349","5.3361","3.5200","1852.0000"
"9","16.6800","1.1831",,,"42.6146","5.3107","3.5200","1816.0000"
"10","16.7600","1.1888",,,"42.7902","5.2855","3.5200","1831.0000"
"11","16.8400","1.1944",,,"42.4853","5.2606","3.5200","1805.0000"
"12","16.9200","1.2000",,,"42.7083","5.2359","3.5200","1824.0000"
"13","17.0000","1.2057",,,"42.3792","5.2114","3.5200","1796.0000"
"14","17.0800","1.2113",,,"41.9643","5.1872","3.5200","1761.0000"
"15","17.1600","1.2169",,,"41.8091","5.1632","3.5200","1748.0000"
"16","17.2400","1.2225",,,"42.8486","5.1394","3.5200","1836.0000"
"17","17.3200","1.2282",,,"41.8330","5.1159","3.5200","1750.0000"
"18","17.4000","1.2338",,,"40.9268","5.0925","3.5200","1675.0000"
"19","17.4800","1.2394",,,"42.3792","5.0694","3.5200","1796.0000"
"20","17.5600","1.2451",,,"42.6028","5.0465","3.5200","1815.0000"
"21","17.6400","1.2507",,,"42.6732","5.0238","3.5200","1821.0000"
"22","17.7200","1.2563",,,"43.0581","5.0013","3.5200","1854.0000"
"23","17.8000","1.2619",,,"43.0581","4.9790","3.5200","1854.0000"
"24","17.8800","1.2676",,,"42.3320","4.9569","3.5200","1792.0000"
"25","17.9600","1.2732",,,"42.9651","4.9350","3.5200","1846.0000"
"26","18.0400","1.2788",,,"43.2088","4.9133","3.5200","1867.0000"
"27","18.1200","1.2844",,,"42.5323","4.8918","3.5200","1809.0000"
