"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","0.0400","0.0028",,,"1510.5817","2206.7441","3.5200","2281857.0000"
"2","0.1200","0.0085",,,"1159.7319","735.5815","3.5200","1344978.0000"
"3","0.2000","0.0142",,,"776.2596","441.3490","3.5200","602579.0000"
"4","0.2800","0.0199",,,"508.6924","315.2495","3.5200","258768.0000"
"5","0.3600","0.0256",,,"391.8788","245.1942","3.5200","153569.0000"
"6","0.4400","0.0313",,,"337.4730","200.6136","3.5200","113888.0000"
"7","0.5200","0.0370",,,"296.1790","169.7501","3.5200","87722.0000"
"8","0.6000","0.0427",,,"269.4235","147.1169","3.5200","72589.0000"
"9","0.6800","0.0484",,,"251.0080","129.8092","3.5200","63005.0000"
"10","0.7600","0.0541",,,"243.4933","116.1453","3.5200","59289.0000"
"11","0.8400","0.0598",,,"239.5976","105.0840","3.5200","57407.0000"
"12","0.9200","0.0655",,,"235.5334","95.9464","3.5200","55476.0000"
"13","1.0000","0.0712",,,"237.3015","88.2709","3.5200","56312.0000"
"14","1.0800","0.0769",,,"235.5568","81.7325","3.5200","55487.0000"
"15","1.1600","0.0826",,,"234.7829","76.0959","3.5200","55123.0000"
"16","1.2400","0.0883",,,"235.3890","71.1867","3.5200","55408.0000"
"17","1.3200","0.0940",,,"239.9083","66.8725","3.5200","57556.0000"
"18","1.4000","0.0997",,,"242.5201","63.0514","3.5200","58816.0000"
"19","1.4800","0.1053",,,"243.2879","59.6434","3.5200","59189.0000"
"20","1.5600","0.1110",,,"243.4748","56.5849","3.5200","59280.0000"
"21","1.6400","0.1167",,,"242.3819","53.8249","3.5200","58749.0000"
"22","1.7200","0.1224",,,"243.1070","51.3216","3.5200","59101.0000"
"23","1.8000","0.1281",,,"240.6221","49.0408","3.5200","57899.0000"
"24","1.8800","0.1338",,,"237.8003","46.9541","3.5200","56549.0000"
"25","1.9600","0.1395",,,"236.0890","45.0378","3.5200","55738.0000"
"26","2.0400","0.1452",,,"236.0826","43.2718","3.5200","55735.0000"
"27","2.1200","0.1509",,,"227.5522","41.6391","3.5200","51780.0000"
"28","2.2000","0.1566",,,"201.0323","40.1251","3.5200","40414.0000"
"29","2.2800","0.1623",,,"169.3399","38.7174","3.5200","28676.0000"
"30","2.3600","0.1680",,,"153.1307","37.4051","3.5200","23449.0000"
"31","2.4400","0.1737",,,"132.5934","36.1789","3.5200","17581.0000"
"32","2.5200","0.1794",,,"113.8112","35.0305","3.5200","12953.0000"
"33","2.6000","0.1851",,,"107.4477","33.9528","3.5200","11545.0000"
"34","2.6800","0.1907",,,"102.3328","32.9395","3.5200","10472.0000"
"35","2.7600","0.1964",,,"95.2680","31.9849","3.5200","9076.0000"
"36","2.8400","0.2021",,,"93.9734","31.0841","3.5200","8831.0000"
"37","2.9200","0.2078",,,"92.6499","30.2326","3.5200","8584.0000"
"38","3.0000","0.2135",,,"91.0879","29.4266","3.5200","8297.0000"
"39","3.0800","0.2192",,,"89.7218","28.6625","3.5200","8050.0000"
