"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","0.0400","0.0028",,,"1548.8618","2206.7441","3.5200","2398973.0000"
"2","0.1200","0.0085",,,"1451.8464","735.5815","3.5200","2107858.0000"
"3","0.2000","0.0142",,,"1040.1058","441.3490","3.5200","1081820.0000"
"4","0.2800","0.0199",,,"802.6276","315.2495","3.5200","644211.0000"
"5","0.3600","0.0256",,,"694.9511","245.1942","3.5200","482957.0000"
"6","0.4400","0.0313",,,"598.8280","200.6136","3.5200","358595.0000"
"7","0.5200","0.0370",,,"534.2191","169.7501","3.5200","285390.0000"
"8","0.6000","0.0427",,,"489.0020","147.1169","3.5200","239123.0000"
"9","0.6800","0.0484",,,"463.7542","129.8092","3.5200","215068.0000"
"10","0.7600","0.0541",,,"448.9811","116.1453","3.5200","201584.0000"
"11","0.8400","0.0598",,,"444.2173","105.0840","3.5200","197329.0000"
"12","0.9200","0.0655",,,"442.6319","95.9464","3.5200","195923.0000"
"13","1.0000","0.0712",,,"445.2595","88.2709","3.5200","198256.0000"
"14","1.0800","0.0769",,,"445.8385","81.7325","3.5200","198772.0000"
"15","1.1600","0.0826",,,"446.0157","76.0959","3.5200","198930.0000"
"16","1.2400","0.0883",,,"448.9399","71.1867","3.5200","201547.0000"
"17","1.3200","0.0940",,,"455.3669","66.8725","3.5200","207359.0000"
"18","1.4000","0.0997",,,"462.0043","63.0514","3.5200","213448.0000"
"19","1.4800","0.1053",,,"467.5757","59.6434","3.5200","218627.0000"
"20","1.5600","0.1110",,,"468.6246","56.5849","3.5200","219609.0000"
"21","1.6400","0.1167",,,"469.6126","53.8249","3.5200","220536.0000"
"22","1.7200","0.1224",,,"470.1106","51.3216","3.5200","221004.0000"
"23","1.8000","0.1281",,,"470.7558","49.0408","3.5200","221611.0000"
"24","1.8800","0.1338",,,"464.7645","46.9541","3.5200","216006.0000"
"25","1.9600","0.1395",,,"457.4571","45.0378","3.5200","209267.0000"
"26","2.0400","0.1452",,,"443.8243","43.2718","3.5200","196980.0000"
"27","2.1200","0.1509",,,"421.7464","41.6391","3.5200","177870.0000"
"28","2.2000","0.1566",,,"375.8896","40.1251","3.5200","141293.0000"
"29","2.2800","0.1623",,,"314.9063","38.7174","3.5200","99166.0000"
