No.,Pos. [°2θ],Q [1/Å],Icalc [cts],Iback [cts],ESD,D spacings,CT [s],Intensity [Counts]
1,3.04,0.2164,,,369.2303,29.0395,3.52,136331
2,3.12,0.2221,,,361.5785,28.2951,3.52,130739
3,3.2,0.2278,,,357.3682,27.5879,3.52,127712
4,3.28,0.2334,,,354.7746,26.9152,3.52,125865
5,3.36,0.2391,,,353.0269,26.2745,3.52,124628
6,3.44,0.2448,,,350.6964,25.6637,3.52,122988
7,3.52,0.2505,,,351.1737,25.0806,3.52,123323
8,3.6,0.2562,,,349.4639,24.5234,3.52,122125
9,3.68,0.2619,,,350.2813,23.9905,3.52,122697
10,3.76,0.2676,,,349.4252,23.4802,3.52,122098
11,3.84,0.2733,,,347.954,22.9912,3.52,121072
12,3.92,0.279,,,348.1006,22.5222,3.52,121174
13,4,0.2847,,,345.0232,22.0719,3.52,119041
14,4.08,0.2904,,,340.7756,21.6393,3.52,116128
15,4.16,0.2961,,,337.8728,21.2234,3.52,114158
16,4.24,0.3017,,,332.7086,20.8231,3.52,110695
17,4.32,0.3074,,,326.6481,20.4377,3.52,106699
18,4.4,0.3131,,,318.0252,20.0662,3.52,101140
19,4.48,0.3188,,,309.4608,19.7081,3.52,95766
20,4.56,0.3245,,,301.2026,19.3625,3.52,90723
21,4.64,0.3302,,,291.5116,19.0289,3.52,84979
22,4.72,0.3359,,,281.2863,18.7065,3.52,79122
23,4.8,0.3416,,,269.3418,18.3949,3.52,72545
24,4.88,0.3473,,,255.1666,18.0935,3.52,65110
25,4.96,0.353,,,239.5183,17.8019,3.52,57369
26,5.04,0.3586,,,221.7205,17.5195,3.52,49160
27,5.12,0.3643,,,200.4395,17.2459,3.52,40176
28,5.2,0.37,,,180.358,16.9808,3.52,32529
29,5.28,0.3757,,,158.9497,16.7237,3.52,25265
30,5.36,0.3814,,,138.4702,16.4742,3.52,19174
31,5.44,0.3871,,,117.983,16.2322,3.52,13920
32,5.52,0.3928,,,98.6408,15.9971,3.52,9730
