Omega, Amorphous Range, Crystalline Range
15, 15-39, 27-31
14, 13-38, 25-29
13, 13-36, 23-27
12, 14-38, 21-25
11, 12-37, 19-22
10, 14-35, 18-21
9, 13-34, 15-19
8, 12-32, 14.5-16
7, 14.5-34, 62-66
6, 13-33, 60-63
5, 12-31, 59-61
3, 14-35, 36-38
1, 12-31, 32-34
0.25, 12-35, 31-32.5
0.025, 14-26, 31-32
0.5, 12-36, 31-33
0.05, 14-28, 30.5-32.5
0.005, 14-27, 30-34
0.1, 11-30, 30.5-32.5
0.01, 13-26, 30.5-32.5
4, 11-38, 38-40
2, 12-34, 34-36
16, 15-29, 28-35
17, 15-29, 31-35
18, 18-27, 34-38
19, 18-33, 35-39
20, 20-31, 38-42
21, 20-30, 40-43
22, 21.5-28, 41-45
23, 22.5-29, 44-47
24, 24-27, 46-49
25, 24.5-30, 48-51
