Omega,Depth (um),Amorphous Percentage,Crystalline Percentage,Amorphous Range,Crystalline Range
0.005,0.027914129595247323,0.7313432835820896,0.26865671641791045,15-25,30-32
0.01,0.05590610532129221,0.7210031347962382,0.27899686520376177,15-25,31-32
0.025,0.1420628553755518,0.6010709504685408,0.3989290495314592,16-24,30-32
0.05,0.29559315132662495,0.3180396246089676,0.6819603753910324,15-25,30-32
0.1,0.6039412666679617,0.16993464052287577,0.8300653594771242,15-25,30-32
0.25,1.445189823129763,0.4770582492678165,0.5229417507321835,15-25,30-32
0.5,2.9649426073428575,0.29663906478324403,0.703360935216756,15-25,30-34
1.0,5.960166213446476,0.26085511741249445,0.7391448825875055,16-23,32-34
3.0,18.566716488917727,0.0010666131379738295,0.9989333868620262,18-27,53-58
5.0,30.3723020838631,0.12167315806556313,0.8783268419344369,15-27,58-61
6.0,36.26966990892965,0.1511279031003445,0.8488720968996555,15-30,60-64
7.0,42.33930122727717,0.14261853132508936,0.8573814686749106,85-88,82-86
8.0,48.6747060341851,0.09713403123391111,0.9028659687660889,18-26,83-90
9.0,55.49787035372553,0.0009288693009773601,0.9990711306990226,19-25,86-90
10.0,59.929208580828245,0.1881237058312738,0.8118762941687262,87-89,18-22
11.0,66.7520301242593,0.09529520295202952,0.9047047970479705,88-91,19-23
12.0,73.01688197152113,0.06910017675833437,0.9308998232416656,88-92,22-26
13.0,78.71595661131809,0.09358955552295731,0.9064104444770427,20-24,24-27
14.0,84.58391748483864,0.09925202818637659,0.9007479718136234,18-25,26-30
15.0,90.38349817610553,0.10738675276391743,0.8926132472360826,15-27,28-32
