"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","10.0050","0.7113",,,"21.7025","8.8338","3.5200","471.0000"
"2","10.0150","0.7120",,,"21.0950","8.8250","3.5200","445.0000"
"3","10.0250","0.7127",,,"22.1359","8.8162","3.5200","490.0000"
"4","10.0350","0.7134",,,"21.2368","8.8074","3.5200","451.0000"
"5","10.0450","0.7141",,,"20.7846","8.7987","3.5200","432.0000"
"6","10.0550","0.7148",,,"20.9284","8.7900","3.5200","438.0000"
"7","10.0650","0.7155",,,"20.5670","8.7813","3.5200","423.0000"
"8","10.0750","0.7162",,,"20.8327","8.7726","3.5200","434.0000"
"9","10.0850","0.7169",,,"21.6102","8.7639","3.5200","467.0000"
"10","10.0950","0.7176",,,"20.6640","8.7552","3.5200","427.0000"
"11","10.1050","0.7184",,,"20.9762","8.7466","3.5200","440.0000"
"12","10.1150","0.7191",,,"21.0238","8.7380","3.5200","442.0000"
"13","10.1250","0.7198",,,"21.6102","8.7294","3.5200","467.0000"
"14","10.1350","0.7205",,,"21.0713","8.7208","3.5200","444.0000"
"15","10.1450","0.7212",,,"20.8567","8.7122","3.5200","435.0000"
"16","10.1550","0.7219",,,"21.5407","8.7036","3.5200","464.0000"
"17","10.1650","0.7226",,,"20.3224","8.6951","3.5200","413.0000"
"18","10.1750","0.7233",,,"20.5913","8.6866","3.5200","424.0000"
"19","10.1850","0.7240",,,"21.8403","8.6781","3.5200","477.0000"
"20","10.1950","0.7247",,,"20.3470","8.6696","3.5200","414.0000"
"21","10.2050","0.7254",,,"20.8806","8.6611","3.5200","436.0000"
"22","10.2150","0.7262",,,"21.0000","8.6526","3.5200","441.0000"
"23","10.2250","0.7269",,,"21.0238","8.6442","3.5200","442.0000"
"24","10.2350","0.7276",,,"20.6640","8.6358","3.5200","427.0000"
"25","10.2450","0.7283",,,"21.4243","8.6274","3.5200","459.0000"
"26","10.2550","0.7290",,,"20.7364","8.6190","3.5200","430.0000"
"27","10.2650","0.7297",,,"21.5174","8.6106","3.5200","463.0000"
"28","10.2750","0.7304",,,"20.6640","8.6023","3.5200","427.0000"
"29","10.2850","0.7311",,,"21.5639","8.5939","3.5200","465.0000"
"30","10.2950","0.7318",,,"22.0681","8.5856","3.5200","487.0000"
"31","10.3050","0.7325",,,"21.5870","8.5773","3.5200","466.0000"
"32","10.3150","0.7332",,,"22.3159","8.5690","3.5200","498.0000"
"33","10.3250","0.7340",,,"21.3542","8.5607","3.5200","456.0000"
"34","10.3350","0.7347",,,"22.0454","8.5524","3.5200","486.0000"
"35","10.3450","0.7354",,,"22.2486","8.5442","3.5200","495.0000"
"36","10.3550","0.7361",,,"21.2132","8.5360","3.5200","450.0000"
"37","10.3650","0.7368",,,"20.6640","8.5278","3.5200","427.0000"
"38","10.3750","0.7375",,,"20.7605","8.5196","3.5200","431.0000"
"39","10.3850","0.7382",,,"22.0907","8.5114","3.5200","488.0000"
"40","10.3950","0.7389",,,"20.8087","8.5032","3.5200","433.0000"
"41","10.4050","0.7396",,,"20.9284","8.4951","3.5200","438.0000"
"42","10.4150","0.7403",,,"21.3073","8.4869","3.5200","454.0000"
"43","10.4250","0.7410",,,"20.0998","8.4788","3.5200","404.0000"
"44","10.4350","0.7418",,,"21.1187","8.4707","3.5200","446.0000"
"45","10.4450","0.7425",,,"21.0000","8.4626","3.5200","441.0000"
"46","10.4550","0.7432",,,"20.1990","8.4546","3.5200","408.0000"
"47","10.4650","0.7439",,,"21.3073","8.4465","3.5200","454.0000"
"48","10.4750","0.7446",,,"20.6882","8.4385","3.5200","428.0000"
"49","10.4850","0.7453",,,"21.6795","8.4304","3.5200","470.0000"
"50","10.4950","0.7460",,,"20.7123","8.4224","3.5200","429.0000"
"51","10.5050","0.7467",,,"21.6333","8.4144","3.5200","468.0000"
"52","10.5150","0.7474",,,"21.5870","8.4064","3.5200","466.0000"
"53","10.5250","0.7481",,,"20.7364","8.3985","3.5200","430.0000"
"54","10.5350","0.7488",,,"21.7025","8.3905","3.5200","471.0000"
"55","10.5450","0.7496",,,"21.6333","8.3826","3.5200","468.0000"
"56","10.5550","0.7503",,,"21.3542","8.3747","3.5200","456.0000"
"57","10.5650","0.7510",,,"20.7846","8.3668","3.5200","432.0000"
"58","10.5750","0.7517",,,"20.3715","8.3589","3.5200","415.0000"
"59","10.5850","0.7524",,,"20.8087","8.3510","3.5200","433.0000"
"60","10.5950","0.7531",,,"20.4939","8.3431","3.5200","420.0000"
"61","10.6050","0.7538",,,"21.9089","8.3353","3.5200","480.0000"
"62","10.6150","0.7545",,,"20.9284","8.3275","3.5200","438.0000"
"63","10.6250","0.7552",,,"21.0000","8.3197","3.5200","441.0000"
"64","10.6350","0.7559",,,"20.9284","8.3119","3.5200","438.0000"
"65","10.6450","0.7566",,,"21.0950","8.3041","3.5200","445.0000"
"66","10.6550","0.7573",,,"20.6398","8.2963","3.5200","426.0000"
"67","10.6650","0.7581",,,"20.2731","8.2885","3.5200","411.0000"
"68","10.6750","0.7588",,,"20.8806","8.2808","3.5200","436.0000"
"69","10.6850","0.7595",,,"20.4695","8.2731","3.5200","419.0000"
"70","10.6950","0.7602",,,"21.6795","8.2654","3.5200","470.0000"
"71","10.7050","0.7609",,,"21.1896","8.2577","3.5200","449.0000"
"72","10.7150","0.7616",,,"20.9762","8.2500","3.5200","440.0000"
"73","10.7250","0.7623",,,"21.1660","8.2423","3.5200","448.0000"
"74","10.7350","0.7630",,,"20.3715","8.2347","3.5200","415.0000"
"75","10.7450","0.7637",,,"21.5639","8.2270","3.5200","465.0000"
"76","10.7550","0.7644",,,"21.0950","8.2194","3.5200","445.0000"
"77","10.7650","0.7651",,,"20.5670","8.2118","3.5200","423.0000"
"78","10.7750","0.7659",,,"21.4009","8.2042","3.5200","458.0000"
"79","10.7850","0.7666",,,"20.1990","8.1966","3.5200","408.0000"
"80","10.7950","0.7673",,,"20.6882","8.1890","3.5200","428.0000"
"81","10.8050","0.7680",,,"20.9523","8.1815","3.5200","439.0000"
"82","10.8150","0.7687",,,"21.3307","8.1739","3.5200","455.0000"
"83","10.8250","0.7694",,,"20.5913","8.1664","3.5200","424.0000"
"84","10.8350","0.7701",,,"21.4243","8.1589","3.5200","459.0000"
"85","10.8450","0.7708",,,"20.4206","8.1514","3.5200","417.0000"
"86","10.8550","0.7715",,,"21.3073","8.1439","3.5200","454.0000"
"87","10.8650","0.7722",,,"20.8087","8.1364","3.5200","433.0000"
"88","10.8750","0.7729",,,"20.5670","8.1290","3.5200","423.0000"
"89","10.8850","0.7736",,,"20.4450","8.1215","3.5200","418.0000"
"90","10.8950","0.7744",,,"21.2132","8.1141","3.5200","450.0000"
"91","10.9050","0.7751",,,"20.6398","8.1067","3.5200","426.0000"
"92","10.9150","0.7758",,,"20.2237","8.0993","3.5200","409.0000"
"93","10.9250","0.7765",,,"21.5174","8.0919","3.5200","463.0000"
"94","10.9350","0.7772",,,"21.2603","8.0845","3.5200","452.0000"
"95","10.9450","0.7779",,,"21.3542","8.0771","3.5200","456.0000"
"96","10.9550","0.7786",,,"21.0476","8.0698","3.5200","443.0000"
"97","10.9650","0.7793",,,"20.4450","8.0624","3.5200","418.0000"
"98","10.9750","0.7800",,,"21.7486","8.0551","3.5200","473.0000"
"99","10.9850","0.7807",,,"21.0950","8.0478","3.5200","445.0000"
"100","10.9950","0.7814",,,"21.4942","8.0405","3.5200","462.0000"
"101","11.0050","0.7822",,,"21.4476","8.0332","3.5200","460.0000"
"102","11.0150","0.7829",,,"21.2368","8.0260","3.5200","451.0000"
"103","11.0250","0.7836",,,"21.9089","8.0187","3.5200","480.0000"
"104","11.0350","0.7843",,,"21.3307","8.0114","3.5200","455.0000"
"105","11.0450","0.7850",,,"20.4450","8.0042","3.5200","418.0000"
"106","11.0550","0.7857",,,"21.1896","7.9970","3.5200","449.0000"
"107","11.0650","0.7864",,,"20.3470","7.9898","3.5200","414.0000"
"108","11.0750","0.7871",,,"22.2036","7.9826","3.5200","493.0000"
"109","11.0850","0.7878",,,"21.4476","7.9754","3.5200","460.0000"
"110","11.0950","0.7885",,,"20.9284","7.9683","3.5200","438.0000"
"111","11.1050","0.7892",,,"21.4476","7.9611","3.5200","460.0000"
"112","11.1150","0.7899",,,"21.4476","7.9540","3.5200","460.0000"
"113","11.1250","0.7907",,,"20.2485","7.9468","3.5200","410.0000"
"114","11.1350","0.7914",,,"21.6564","7.9397","3.5200","469.0000"
"115","11.1450","0.7921",,,"21.4476","7.9326","3.5200","460.0000"
"116","11.1550","0.7928",,,"21.3073","7.9255","3.5200","454.0000"
"117","11.1650","0.7935",,,"21.4243","7.9185","3.5200","459.0000"
"118","11.1750","0.7942",,,"20.1494","7.9114","3.5200","406.0000"
"119","11.1850","0.7949",,,"21.1424","7.9043","3.5200","447.0000"
"120","11.1950","0.7956",,,"20.8327","7.8973","3.5200","434.0000"
"121","11.2050","0.7963",,,"21.7025","7.8903","3.5200","471.0000"
"122","11.2150","0.7970",,,"20.5183","7.8833","3.5200","421.0000"
"123","11.2250","0.7977",,,"21.6564","7.8763","3.5200","469.0000"
"124","11.2350","0.7984",,,"20.4939","7.8693","3.5200","420.0000"
"125","11.2450","0.7992",,,"19.6723","7.8623","3.5200","387.0000"
"126","11.2550","0.7999",,,"21.8174","7.8553","3.5200","476.0000"
"127","11.2650","0.8006",,,"20.3470","7.8484","3.5200","414.0000"
"128","11.2750","0.8013",,,"21.1896","7.8415","3.5200","449.0000"
"129","11.2850","0.8020",,,"21.3542","7.8345","3.5200","456.0000"
"130","11.2950","0.8027",,,"21.3542","7.8276","3.5200","456.0000"
"131","11.3050","0.8034",,,"20.2485","7.8207","3.5200","410.0000"
"132","11.3150","0.8041",,,"21.3542","7.8138","3.5200","456.0000"
"133","11.3250","0.8048",,,"20.4939","7.8069","3.5200","420.0000"
"134","11.3350","0.8055",,,"20.8087","7.8001","3.5200","433.0000"
"135","11.3450","0.8062",,,"20.8327","7.7932","3.5200","434.0000"
"136","11.3550","0.8069",,,"20.1990","7.7864","3.5200","408.0000"
"137","11.3650","0.8077",,,"20.8567","7.7796","3.5200","435.0000"
"138","11.3750","0.8084",,,"20.4450","7.7727","3.5200","418.0000"
"139","11.3850","0.8091",,,"21.0238","7.7659","3.5200","442.0000"
"140","11.3950","0.8098",,,"21.6102","7.7591","3.5200","467.0000"
"141","11.4050","0.8105",,,"21.0000","7.7524","3.5200","441.0000"
"142","11.4150","0.8112",,,"21.2603","7.7456","3.5200","452.0000"
"143","11.4250","0.8119",,,"21.4476","7.7388","3.5200","460.0000"
"144","11.4350","0.8126",,,"20.6882","7.7321","3.5200","428.0000"
"145","11.4450","0.8133",,,"21.0476","7.7254","3.5200","443.0000"
"146","11.4550","0.8140",,,"22.2036","7.7186","3.5200","493.0000"
"147","11.4650","0.8147",,,"20.5913","7.7119","3.5200","424.0000"
"148","11.4750","0.8154",,,"21.1660","7.7052","3.5200","448.0000"
"149","11.4850","0.8162",,,"21.3542","7.6985","3.5200","456.0000"
"150","11.4950","0.8169",,,"22.0227","7.6919","3.5200","485.0000"
"151","11.5050","0.8176",,,"21.8632","7.6852","3.5200","478.0000"
"152","11.5150","0.8183",,,"21.7256","7.6785","3.5200","472.0000"
"153","11.5250","0.8190",,,"20.8567","7.6719","3.5200","435.0000"
"154","11.5350","0.8197",,,"21.4243","7.6653","3.5200","459.0000"
"155","11.5450","0.8204",,,"20.2485","7.6587","3.5200","410.0000"
"156","11.5550","0.8211",,,"20.7123","7.6521","3.5200","429.0000"
"157","11.5650","0.8218",,,"20.8806","7.6455","3.5200","436.0000"
"158","11.5750","0.8225",,,"21.0713","7.6389","3.5200","444.0000"
"159","11.5850","0.8232",,,"20.0250","7.6323","3.5200","401.0000"
"160","11.5950","0.8239",,,"21.3542","7.6257","3.5200","456.0000"
"161","11.6050","0.8247",,,"21.5639","7.6192","3.5200","465.0000"
"162","11.6150","0.8254",,,"21.0476","7.6127","3.5200","443.0000"
"163","11.6250","0.8261",,,"21.2368","7.6061","3.5200","451.0000"
"164","11.6350","0.8268",,,"21.1896","7.5996","3.5200","449.0000"
"165","11.6450","0.8275",,,"21.3073","7.5931","3.5200","454.0000"
"166","11.6550","0.8282",,,"20.8087","7.5866","3.5200","433.0000"
"167","11.6650","0.8289",,,"20.5913","7.5801","3.5200","424.0000"
"168","11.6750","0.8296",,,"21.1187","7.5737","3.5200","446.0000"
"169","11.6850","0.8303",,,"20.9523","7.5672","3.5200","439.0000"
"170","11.6950","0.8310",,,"21.6795","7.5608","3.5200","470.0000"
"171","11.7050","0.8317",,,"21.5174","7.5543","3.5200","463.0000"
"172","11.7150","0.8324",,,"21.1424","7.5479","3.5200","447.0000"
"173","11.7250","0.8331",,,"20.8567","7.5415","3.5200","435.0000"
"174","11.7350","0.8339",,,"20.8327","7.5351","3.5200","434.0000"
"175","11.7450","0.8346",,,"20.6155","7.5287","3.5200","425.0000"
"176","11.7550","0.8353",,,"20.7364","7.5223","3.5200","430.0000"
"177","11.7650","0.8360",,,"21.8174","7.5159","3.5200","476.0000"
"178","11.7750","0.8367",,,"21.6795","7.5096","3.5200","470.0000"
"179","11.7850","0.8374",,,"21.6795","7.5032","3.5200","470.0000"
"180","11.7950","0.8381",,,"20.5183","7.4969","3.5200","421.0000"
"181","11.8050","0.8388",,,"21.2838","7.4906","3.5200","453.0000"
"182","11.8150","0.8395",,,"21.1187","7.4842","3.5200","446.0000"
"183","11.8250","0.8402",,,"21.6102","7.4779","3.5200","467.0000"
"184","11.8350","0.8409",,,"21.8174","7.4716","3.5200","476.0000"
"185","11.8450","0.8416",,,"21.1660","7.4654","3.5200","448.0000"
"186","11.8550","0.8424",,,"20.1742","7.4591","3.5200","407.0000"
"187","11.8650","0.8431",,,"20.6398","7.4528","3.5200","426.0000"
"188","11.8750","0.8438",,,"21.0238","7.4466","3.5200","442.0000"
"189","11.8850","0.8445",,,"21.2132","7.4403","3.5200","450.0000"
"190","11.8950","0.8452",,,"21.5870","7.4341","3.5200","466.0000"
"191","11.9050","0.8459",,,"20.6155","7.4279","3.5200","425.0000"
"192","11.9150","0.8466",,,"21.2838","7.4217","3.5200","453.0000"
"193","11.9250","0.8473",,,"20.1990","7.4155","3.5200","408.0000"
"194","11.9350","0.8480",,,"21.3776","7.4093","3.5200","457.0000"
"195","11.9450","0.8487",,,"20.8567","7.4031","3.5200","435.0000"
"196","11.9550","0.8494",,,"20.8567","7.3969","3.5200","435.0000"
"197","11.9650","0.8501",,,"20.7123","7.3908","3.5200","429.0000"
"198","11.9750","0.8508",,,"20.6640","7.3846","3.5200","427.0000"
"199","11.9850","0.8516",,,"20.6155","7.3785","3.5200","425.0000"
"200","11.9950","0.8523",,,"20.9045","7.3723","3.5200","437.0000"
