"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","12.0050","0.8530",,,"73.1027","7.3662","7.0400","5344.0000"
"2","12.0150","0.8537",,,"72.9589","7.3601","7.0400","5323.0000"
"3","12.0250","0.8544",,,"71.2741","7.3540","7.0400","5080.0000"
"4","12.0350","0.8551",,,"71.8818","7.3479","7.0400","5167.0000"
"5","12.0450","0.8558",,,"72.5948","7.3418","7.0400","5270.0000"
"6","12.0550","0.8565",,,"72.1873","7.3358","7.0400","5211.0000"
"7","12.0650","0.8572",,,"72.1388","7.3297","7.0400","5204.0000"
"8","12.0750","0.8579",,,"72.0625","7.3237","7.0400","5193.0000"
"9","12.0850","0.8586",,,"72.2011","7.3176","7.0400","5213.0000"
"10","12.0950","0.8593",,,"72.5948","7.3116","7.0400","5270.0000"
"11","12.1050","0.8601",,,"72.0486","7.3056","7.0400","5191.0000"
"12","12.1150","0.8608",,,"73.0068","7.2996","7.0400","5330.0000"
"13","12.1250","0.8615",,,"72.8148","7.2936","7.0400","5302.0000"
"14","12.1350","0.8622",,,"71.9792","7.2876","7.0400","5181.0000"
"15","12.1450","0.8629",,,"72.0833","7.2816","7.0400","5196.0000"
"16","12.1550","0.8636",,,"72.2080","7.2756","7.0400","5214.0000"
"17","12.1650","0.8643",,,"70.8872","7.2697","7.0400","5025.0000"
"18","12.1750","0.8650",,,"72.3395","7.2637","7.0400","5233.0000"
"19","12.1850","0.8657",,,"72.3049","7.2578","7.0400","5228.0000"
"20","12.1950","0.8664",,,"71.0282","7.2519","7.0400","5045.0000"
"21","12.2050","0.8671",,,"72.0694","7.2460","7.0400","5194.0000"
"22","12.2150","0.8678",,,"70.9930","7.2400","7.0400","5040.0000"
"23","12.2250","0.8685",,,"71.8749","7.2341","7.0400","5166.0000"
"24","12.2350","0.8693",,,"71.5402","7.2283","7.0400","5118.0000"
"25","12.2450","0.8700",,,"72.0972","7.2224","7.0400","5198.0000"
"26","12.2550","0.8707",,,"71.7844","7.2165","7.0400","5153.0000"
"27","12.2650","0.8714",,,"72.3533","7.2106","7.0400","5235.0000"
"28","12.2750","0.8721",,,"71.7077","7.2048","7.0400","5142.0000"
