"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","15.0050","1.0650",,,"46.4220","5.8995","3.5200","2155.0000"
"2","15.0150","1.0657",,,"46.1519","5.8956","3.5200","2130.0000"
"3","15.0250","1.0664",,,"45.6946","5.8917","3.5200","2088.0000"
"4","15.0350","1.0671",,,"46.0760","5.8878","3.5200","2123.0000"
"5","15.0450","1.0679",,,"46.8828","5.8839","3.5200","2198.0000"
"6","15.0550","1.0686",,,"45.7493","5.8801","3.5200","2093.0000"
"7","15.0650","1.0693",,,"46.4112","5.8762","3.5200","2154.0000"
"8","15.0750","1.0700",,,"45.5412","5.8723","3.5200","2074.0000"
"9","15.0850","1.0707",,,"47.0532","5.8684","3.5200","2214.0000"
"10","15.0950","1.0714",,,"46.6262","5.8646","3.5200","2174.0000"
"11","15.1050","1.0721",,,"46.7761","5.8607","3.5200","2188.0000"
"12","15.1150","1.0728",,,"46.2601","5.8568","3.5200","2140.0000"
"13","15.1250","1.0735",,,"45.8148","5.8530","3.5200","2099.0000"
"14","15.1350","1.0742",,,"45.3321","5.8492","3.5200","2055.0000"
"15","15.1450","1.0749",,,"46.1303","5.8453","3.5200","2128.0000"
"16","15.1550","1.0756",,,"45.6618","5.8415","3.5200","2085.0000"
"17","15.1650","1.0763",,,"46.9681","5.8376","3.5200","2206.0000"
"18","15.1750","1.0770",,,"47.1911","5.8338","3.5200","2227.0000"
"19","15.1850","1.0777",,,"46.3033","5.8300","3.5200","2144.0000"
"20","15.1950","1.0784",,,"46.6583","5.8262","3.5200","2177.0000"
"21","15.2050","1.0791",,,"47.0744","5.8224","3.5200","2216.0000"
"22","15.2150","1.0798",,,"45.9674","5.8186","3.5200","2113.0000"
"23","15.2250","1.0806",,,"46.5188","5.8148","3.5200","2164.0000"
"24","15.2350","1.0813",,,"45.9239","5.8110","3.5200","2109.0000"
"25","15.2450","1.0820",,,"46.8615","5.8072","3.5200","2196.0000"
"26","15.2550","1.0827",,,"46.0109","5.8034","3.5200","2117.0000"
"27","15.2650","1.0834",,,"46.0000","5.7996","3.5200","2116.0000"
"28","15.2750","1.0841",,,"46.1519","5.7959","3.5200","2130.0000"
"29","15.2850","1.0848",,,"46.1736","5.7921","3.5200","2132.0000"
"30","15.2950","1.0855",,,"46.5833","5.7883","3.5200","2170.0000"
"31","15.3050","1.0862",,,"46.0000","5.7846","3.5200","2116.0000"
