"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","21.0050","1.4868",,,"33.9706","4.2259","3.5200","1154.0000"
"2","21.0150","1.4875",,,"34.8569","4.2240","3.5200","1215.0000"
"3","21.0250","1.4882",,,"33.8674","4.2220","3.5200","1147.0000"
"4","21.0350","1.4889",,,"34.0881","4.2200","3.5200","1162.0000"
"5","21.0450","1.4896",,,"35.4965","4.2180","3.5200","1260.0000"
"6","21.0550","1.4903",,,"35.3836","4.2160","3.5200","1252.0000"
"7","21.0650","1.4910",,,"34.1028","4.2140","3.5200","1163.0000"
"8","21.0750","1.4917",,,"34.6121","4.2121","3.5200","1198.0000"
"9","21.0850","1.4924",,,"33.5410","4.2101","3.5200","1125.0000"
"10","21.0950","1.4931",,,"34.8425","4.2081","3.5200","1214.0000"
"11","21.1050","1.4938",,,"35.6931","4.2061","3.5200","1274.0000"
"12","21.1150","1.4945",,,"33.5410","4.2042","3.5200","1125.0000"
"13","21.1250","1.4952",,,"33.7343","4.2022","3.5200","1138.0000"
"14","21.1350","1.4959",,,"35.3412","4.2002","3.5200","1249.0000"
"15","21.1450","1.4966",,,"34.5109","4.1983","3.5200","1191.0000"
"16","21.1550","1.4973",,,"34.7707","4.1963","3.5200","1209.0000"
"17","21.1650","1.4980",,,"35.2562","4.1944","3.5200","1243.0000"
"18","21.1750","1.4987",,,"34.2053","4.1924","3.5200","1170.0000"
"19","21.1850","1.4994",,,"34.5109","4.1904","3.5200","1191.0000"
"20","21.1950","1.5001",,,"34.6266","4.1885","3.5200","1199.0000"
"21","21.2050","1.5008",,,"34.1614","4.1865","3.5200","1167.0000"
"22","21.2150","1.5015",,,"34.4529","4.1846","3.5200","1187.0000"
"23","21.2250","1.5022",,,"34.1760","4.1826","3.5200","1168.0000"
"24","21.2350","1.5029",,,"34.5254","4.1807","3.5200","1192.0000"
"25","21.2450","1.5036",,,"33.3916","4.1787","3.5200","1115.0000"
"26","21.2550","1.5043",,,"34.3657","4.1768","3.5200","1181.0000"
"27","21.2650","1.5050",,,"34.3657","4.1749","3.5200","1181.0000"
"28","21.2750","1.5057",,,"33.5410","4.1729","3.5200","1125.0000"
"29","21.2850","1.5064",,,"33.8969","4.1710","3.5200","1149.0000"
"30","21.2950","1.5071",,,"35.0856","4.1690","3.5200","1231.0000"
"31","21.3050","1.5078",,,"33.9559","4.1671","3.5200","1153.0000"
"32","21.3150","1.5085",,,"34.4238","4.1652","3.5200","1185.0000"
"33","21.3250","1.5092",,,"35.4401","4.1633","3.5200","1256.0000"
"34","21.3350","1.5099",,,"34.0000","4.1613","3.5200","1156.0000"
"35","21.3450","1.5106",,,"34.1028","4.1594","3.5200","1163.0000"
"36","21.3550","1.5113",,,"35.2278","4.1575","3.5200","1241.0000"
"37","21.3650","1.5120",,,"34.1467","4.1555","3.5200","1166.0000"
"38","21.3750","1.5127",,,"34.7994","4.1536","3.5200","1211.0000"
