"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","7.0050","0.4983",,"4665.0000","68.3008","12.6088","3.5200","4665.0000"
"2","7.0150","0.4990",,"4664.0570","68.7459","12.5909","3.5200","4726.0000"
"3","7.0250","0.4997",,"4663.1141","68.4909","12.5730","3.5200","4691.0000"
"4","7.0350","0.5004",,"4662.1711","68.8041","12.5551","3.5200","4734.0000"
"5","7.0450","0.5012",,"4661.2281","68.8767","12.5373","3.5200","4744.0000"
"6","7.0550","0.5019",,"4660.2851","68.4836","12.5196","3.5200","4690.0000"
"7","7.0650","0.5026",,"4659.3422","68.4544","12.5019","3.5200","4686.0000"
"8","7.0750","0.5033",,"4658.3992","67.7791","12.4842","3.5200","4594.0000"
"9","7.0850","0.5040",,"4657.4562","68.5784","12.4666","3.5200","4703.0000"
"10","7.0950","0.5047",,"4656.5132","67.8823","12.4491","3.5200","4608.0000"
"11","7.1050","0.5054",,"4655.5703","69.7639","12.4316","3.5200","4867.0000"
"12","7.1150","0.5061",,"4654.6273","68.2862","12.4141","3.5200","4663.0000"
"13","7.1250","0.5068",,"4653.6843","68.5857","12.3967","3.5200","4704.0000"
"14","7.1350","0.5076",,"4652.7413","68.8549","12.3794","3.5200","4741.0000"
"15","7.1450","0.5083",,"4651.7984","68.9493","12.3621","3.5200","4754.0000"
"16","7.1550","0.5090",,"4650.8554","67.4537","12.3448","3.5200","4550.0000"
"17","7.1650","0.5097",,"4649.9124","68.8622","12.3276","3.5200","4742.0000"
"18","7.1750","0.5104",,"4648.9694","68.1909","12.3104","3.5200","4650.0000"
"19","7.1850","0.5111",,"4648.0265","67.3944","12.2933","3.5200","4542.0000"
"20","7.1950","0.5118",,"4647.0835","68.9710","12.2763","3.5200","4757.0000"
"21","7.2050","0.5125",,"4646.1405","68.8694","12.2593","3.5200","4743.0000"
"22","7.2150","0.5132",,"4645.1976","67.9264","12.2423","3.5200","4614.0000"
"23","7.2250","0.5139",,"4644.2546","67.0224","12.2254","3.5200","4492.0000"
"24","7.2350","0.5147",,"4643.3116","67.6240","12.2085","3.5200","4573.0000"
"25","7.2450","0.5154",,"4642.3686","68.1982","12.1917","3.5200","4651.0000"
"26","7.2550","0.5161",,"4641.4257","68.8767","12.1749","3.5200","4744.0000"
"27","7.2650","0.5168",,"4640.4827","68.6804","12.1581","3.5200","4717.0000"
"28","7.2750","0.5175",,"4639.5397","68.3813","12.1415","3.5200","4676.0000"
"29","7.2850","0.5182",,"4638.5967","68.2422","12.1248","3.5200","4657.0000"
"30","7.2950","0.5189",,"4637.6538","68.3008","12.1082","3.5200","4665.0000"
"31","7.3050","0.5196",,"4636.7108","68.7605","12.0917","3.5200","4728.0000"
"32","7.3150","0.5203",,"4635.7678","68.5274","12.0752","3.5200","4696.0000"
"33","7.3250","0.5211",,"4634.8248","68.6440","12.0587","3.5200","4712.0000"
"34","7.3350","0.5218",,"4633.8819","67.9485","12.0423","3.5200","4617.0000"
"35","7.3450","0.5225",,"4632.9389","68.5857","12.0259","3.5200","4704.0000"
"36","7.3550","0.5232",,"4631.9959","68.2715","12.0096","3.5200","4661.0000"
"37","7.3650","0.5239",,"4631.0530","68.1322","11.9933","3.5200","4642.0000"
"38","7.3750","0.5246",,"4630.1100","67.5500","11.9770","3.5200","4563.0000"
