"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","12.0050","0.8530",,,"72.1968","7.3662","7.0400","5212.3750"
"2","12.0150","0.8537",,,"72.2176","7.3601","7.0400","5215.3750"
"3","12.0250","0.8544",,,"72.1617","7.3540","7.0400","5207.3125"
"4","12.0350","0.8551",,,"72.1691","7.3479","7.0400","5208.3750"
"5","12.0450","0.8558",,,"72.1535","7.3418","7.0400","5206.1250"
"6","12.0550","0.8565",,,"72.1453","7.3358","7.0400","5204.9375"
"7","12.0650","0.8572",,,"72.2111","7.3297","7.0400","5214.4375"
"8","12.0750","0.8579",,,"72.2176","7.3237","7.0400","5215.3750"
"9","12.0850","0.8586",,,"72.2721","7.3176","7.0400","5223.2500"
"10","12.0950","0.8593",,,"72.3896","7.3116","7.0400","5240.2500"
"11","12.1050","0.8601",,,"72.4431","7.3056","7.0400","5248.0000"
"12","12.1150","0.8608",,,"72.5043","7.2996","7.0400","5256.8750"
"13","12.1250","0.8615",,,"72.4565","7.2936","7.0400","5249.9375"
"14","12.1350","0.8622",,,"72.2504","7.2876","7.0400","5220.1250"
"15","12.1450","0.8629",,,"72.1050","7.2816","7.0400","5199.1250"
"16","12.1550","0.8636",,,"71.9709","7.2756","7.0400","5179.8125"
"17","12.1650","0.8643",,,"71.8136","7.2697","7.0400","5157.1875"
"18","12.1750","0.8650",,,"71.8501","7.2637","7.0400","5162.4375"
"19","12.1850","0.8657",,,"71.7800","7.2578","7.0400","5152.3750"
"20","12.1950","0.8664",,,"71.6689","7.2519","7.0400","5136.4375"
"21","12.2050","0.8671",,,"71.6633","7.2460","7.0400","5135.6250"
"22","12.2150","0.8678",,,"71.5856","7.2400","7.0400","5124.5000"
"23","12.2250","0.8685",,,"71.6415","7.2341","7.0400","5132.5000"
"24","12.2350","0.8693",,,"71.7544","7.2283","7.0400","5148.6875"
"25","12.2450","0.8700",,,"71.8458","7.2224","7.0400","5161.8125"
"26","12.2550","0.8707",,,"71.8918","7.2165","7.0400","5168.4375"
"27","12.2650","0.8714",,,"71.8571","7.2106","7.0400","5163.4375"
"28","12.2750","0.8721",,,"71.7321","7.2048","7.0400","5145.5000"
"29","12.2850","0.8728",,,"71.6262","7.1989","7.0400","5130.3125"
"30","12.2950","0.8735",,,"71.6288","7.1931","7.0400","5130.6875"
"31","12.3050","0.8742",,,"71.6886","7.1873","7.0400","5139.2500"
"32","12.3150","0.8749",,,"71.8697","7.1815","7.0400","5165.2500"
"33","12.3250","0.8756",,,"72.0061","7.1757","7.0400","5184.8750"
"34","12.3350","0.8763",,,"72.0009","7.1699","7.0400","5184.1250"
"35","12.3450","0.8770",,,"71.9805","7.1641","7.0400","5181.1875"
"36","12.3550","0.8777",,,"71.8723","7.1583","7.0400","5165.6250"
"37","12.3650","0.8785",,,"71.7748","7.1526","7.0400","5151.6250"
"38","12.3750","0.8792",,,"71.7504","7.1468","7.0400","5148.1250"
"39","12.3850","0.8799",,,"71.7239","7.1410","7.0400","5144.3125"
"40","12.3950","0.8806",,,"71.7679","7.1353","7.0400","5150.6250"
"41","12.4050","0.8813",,,"71.8688","7.1296","7.0400","5165.1250"
"42","12.4150","0.8820",,,"72.0404","7.1239","7.0400","5189.8125"
"43","12.4250","0.8827",,,"72.1834","7.1181","7.0400","5210.4375"
"44","12.4350","0.8834",,,"72.2297","7.1124","7.0400","5217.1250"
"45","12.4450","0.8841",,,"72.2063","7.1068","7.0400","5213.7500"
"46","12.4550","0.8848",,,"72.1210","7.1011","7.0400","5201.4375"
"47","12.4650","0.8855",,,"72.1002","7.0954","7.0400","5198.4375"
"48","12.4750","0.8862",,,"72.1738","7.0897","7.0400","5209.0625"
"49","12.4850","0.8869",,,"72.2318","7.0841","7.0400","5217.4375"
"50","12.4950","0.8877",,,"72.2984","7.0784","7.0400","5227.0625"
"51","12.5050","0.8884",,,"72.3261","7.0728","7.0400","5231.0625"
"52","12.5150","0.8891",,,"72.2798","7.0672","7.0400","5224.3750"
"53","12.5250","0.8898",,,"72.2881","7.0615","7.0400","5225.5625"
"54","12.5350","0.8905",,,"72.2906","7.0559","7.0400","5225.9375"
"55","12.5450","0.8912",,,"72.2643","7.0503","7.0400","5222.1250"
"56","12.5550","0.8919",,,"72.2513","7.0447","7.0400","5220.2500"
"57","12.5650","0.8926",,,"72.1799","7.0391","7.0400","5209.9375"
"58","12.5750","0.8933",,,"72.0104","7.0336","7.0400","5185.5000"
"59","12.5850","0.8940",,,"71.8471","7.0280","7.0400","5162.0000"
"60","12.5950","0.8947",,,"71.6746","7.0224","7.0400","5137.2500"
"61","12.6050","0.8954",,,"71.5350","7.0169","7.0400","5117.2500"
"62","12.6150","0.8961",,,"71.5074","7.0114","7.0400","5113.3125"
"63","12.6250","0.8969",,,"71.5092","7.0058","7.0400","5113.5625"
"64","12.6350","0.8976",,,"71.6502","7.0003","7.0400","5133.7500"
"65","12.6450","0.8983",,,"71.8414","6.9948","7.0400","5161.1875"
"66","12.6550","0.8990",,,"72.0325","6.9893","7.0400","5188.6875"
"67","12.6650","0.8997",,,"72.2240","6.9838","7.0400","5216.3125"
"68","12.6750","0.9004",,,"72.2297","6.9783","7.0400","5217.1250"
"69","12.6850","0.9011",,,"72.1227","6.9728","7.0400","5201.6875"
"70","12.6950","0.9018",,,"72.0677","6.9674","7.0400","5193.7500"
"71","12.7050","0.9025",,,"72.0122","6.9619","7.0400","5185.7500"
"72","12.7150","0.9032",,,"72.0560","6.9564","7.0400","5192.0625"
