"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","7.0050","0.4983",,"4665.0000","68.4279","12.6088","3.5200","4682.3750"
"2","7.0150","0.4990",,"4664.0570","68.6144","12.5909","3.5200","4707.9375"
"3","7.0250","0.4997",,"4663.1141","68.6495","12.5730","3.5200","4712.7500"
"4","7.0350","0.5004",,"4662.1711","68.6586","12.5551","3.5200","4714.0000"
"5","7.0450","0.5012",,"4661.2281","68.6121","12.5373","3.5200","4707.6250"
"6","7.0550","0.5019",,"4660.2851","68.5109","12.5196","3.5200","4693.7500"
"7","7.0650","0.5026",,"4659.3422","68.3886","12.5019","3.5200","4677.0000"
"8","7.0750","0.5033",,"4658.3992","68.3511","12.4842","3.5200","4671.8750"
"9","7.0850","0.5040",,"4657.4562","68.4092","12.4666","3.5200","4679.8125"
"10","7.0950","0.5047",,"4656.5132","68.4863","12.4491","3.5200","4690.3750"
"11","7.1050","0.5054",,"4655.5703","68.6613","12.4316","3.5200","4714.3750"
"12","7.1150","0.5061",,"4654.6273","68.7023","12.4141","3.5200","4720.0000"
"13","7.1250","0.5068",,"4653.6843","68.6604","12.3967","3.5200","4714.2500"
"14","7.1350","0.5076",,"4652.7413","68.6354","12.3794","3.5200","4710.8125"
"15","7.1450","0.5083",,"4651.7984","68.5082","12.3621","3.5200","4693.3750"
"16","7.1550","0.5090",,"4650.8554","68.3356","12.3448","3.5200","4669.7500"
"17","7.1650","0.5097",,"4649.9124","68.3090","12.3276","3.5200","4666.1250"
"18","7.1750","0.5104",,"4648.9694","68.2656","12.3104","3.5200","4660.1875"
"19","7.1850","0.5111",,"4648.0265","68.2473","12.2933","3.5200","4657.6875"
"20","7.1950","0.5118",,"4647.0835","68.3031","12.2763","3.5200","4665.3125"
"21","7.2050","0.5125",,"4646.1405","68.1799","12.2593","3.5200","4648.5000"
"22","7.2150","0.5132",,"4645.1976","68.0138","12.2423","3.5200","4625.8750"
"23","7.2250","0.5139",,"4644.2546","67.9237","12.2254","3.5200","4613.6250"
"24","7.2350","0.5147",,"4643.3116","67.9600","12.2085","3.5200","4618.5625"
"25","7.2450","0.5154",,"4642.3686","68.1281","12.1917","3.5200","4641.4375"
"26","7.2550","0.5161",,"4641.4257","68.3406","12.1749","3.5200","4670.4375"
"27","7.2650","0.5168",,"4640.4827","68.4571","12.1581","3.5200","4686.3750"
"28","7.2750","0.5175",,"4639.5397","68.4758","12.1415","3.5200","4688.9375"
"29","7.2850","0.5182",,"4638.5967","68.4566","12.1248","3.5200","4686.3125"
"30","7.2950","0.5189",,"4637.6538","68.4598","12.1082","3.5200","4686.7500"
"31","7.3050","0.5196",,"4636.7108","68.4772","12.0917","3.5200","4689.1250"
"32","7.3150","0.5203",,"4635.7678","68.4786","12.0752","3.5200","4689.3125"
"33","7.3250","0.5211",,"4634.8248","68.4548","12.0587","3.5200","4686.0625"
"34","7.3350","0.5218",,"4633.8819","68.3740","12.0423","3.5200","4675.0000"
"35","7.3450","0.5225",,"4632.9389","68.2903","12.0259","3.5200","4663.5625"
"36","7.3550","0.5232",,"4631.9959","68.2257","12.0096","3.5200","4654.7500"
"37","7.3650","0.5239",,"4631.0530","68.1497","11.9933","3.5200","4644.3750"
"38","7.3750","0.5246",,"4630.1100","68.0519","11.9770","3.5200","4631.0625"
"39","7.3850","0.5253",,"4629.1670","68.0551","11.9609","3.5200","4631.5000"
"40","7.3950","0.5260",,"4628.2240","67.9637","11.9447","3.5200","4619.0625"
"41","7.4050","0.5267",,"4627.2811","67.8772","11.9286","3.5200","4607.3125"
"42","7.4150","0.5274",,"4626.3381","67.8942","11.9125","3.5200","4609.6250"
"43","7.4250","0.5282",,"4625.3951","67.7744","11.8965","3.5200","4593.3750"
"44","7.4350","0.5289",,"4624.4521","67.8168","11.8805","3.5200","4599.1250"
"45","7.4450","0.5296",,"4623.5092","67.9522","11.8646","3.5200","4617.5000"
"46","7.4550","0.5303",,"4622.5662","68.0097","11.8487","3.5200","4625.3125"
"47","7.4650","0.5310",,"4621.6232","68.1419","11.8329","3.5200","4643.3125"
"48","7.4750","0.5317",,"4620.6802","68.1597","11.8170","3.5200","4645.7500"
"49","7.4850","0.5324",,"4619.7373","68.1047","11.8013","3.5200","4638.2500"
"50","7.4950","0.5331",,"4618.7943","68.1042","11.7856","3.5200","4638.1875"
"51","7.5050","0.5338",,"4617.8513","68.0992","11.7699","3.5200","4637.5000"
"52","7.5150","0.5345",,"4616.9083","68.1171","11.7542","3.5200","4639.9375"
"53","7.5250","0.5353",,"4615.9654","68.0579","11.7386","3.5200","4631.8750"
"54","7.5350","0.5360",,"4615.0224","68.0289","11.7231","3.5200","4627.9375"
"55","7.5450","0.5367",,"4614.0794","68.0101","11.7076","3.5200","4625.3750"
"56","7.5550","0.5374",,"4613.1365","68.0749","11.6921","3.5200","4634.1875"
"57","7.5650","0.5381",,"4612.1935","68.2839","11.6767","3.5200","4662.6875"
"58","7.5750","0.5388",,"4611.2505","68.3356","11.6613","3.5200","4669.7500"
"59","7.5850","0.5395",,"4610.3075","68.3182","11.6459","3.5200","4667.3750"
"60","7.5950","0.5402",,"4609.3646","68.1891","11.6306","3.5200","4649.7500"
"61","7.6050","0.5409",,"4608.4216","67.9664","11.6153","3.5200","4619.4375"
"62","7.6150","0.5416",,"4607.4786","67.8965","11.6001","3.5200","4609.9375"
"63","7.6250","0.5424",,"4606.5356","67.9076","11.5849","3.5200","4611.4375"
"64","7.6350","0.5431",,"4605.5927","67.9407","11.5698","3.5200","4615.9375"
"65","7.6450","0.5438",,"4604.6497","67.9706","11.5546","3.5200","4620.0000"
"66","7.6550","0.5445",,"4603.7067","67.9439","11.5396","3.5200","4616.3750"
"67","7.6650","0.5452",,"4602.7637","67.8776","11.5245","3.5200","4607.3750"
"68","7.6750","0.5459",,"4601.8208","67.8086","11.5095","3.5200","4598.0000"
"69","7.6850","0.5466",,"4600.8778","67.8007","11.4946","3.5200","4596.9375"
"70","7.6950","0.5473",,"4599.9348","67.8348","11.4797","3.5200","4601.5625"
"71","7.7050","0.5480",,"4598.9918","67.8436","11.4648","3.5200","4602.7500"
"72","7.7150","0.5488",,"4598.0489","67.9416","11.4500","3.5200","4616.0625"
"73","7.7250","0.5495",,"4597.1059","68.0074","11.4352","3.5200","4625.0000"
"74","7.7350","0.5502",,"4596.1629","67.9366","11.4204","3.5200","4615.3750"
"75","7.7450","0.5509",,"4595.2200","67.9481","11.4057","3.5200","4616.9375"
"76","7.7550","0.5516",,"4594.2770","67.8836","11.3910","3.5200","4608.1875"
"77","7.7650","0.5523",,"4593.3340","67.8090","11.3763","3.5200","4598.0625"
